單字編號,漢字,假名拼音(分別),假名拼音,重音,詞性,中文意思,常用例句 1日,常用例句 1中,常用例句 2日,常用例句 2中,常用例句 1題目,常用例句 1答案,常用例句 2題目,常用例句 2答案
466,凍る,こお.る,こおる,[0],自動一,結冰,川が凍る。,河川結冰。,凍った道。,結冰的道路。,川が（　　）。,凍る,（　　）った道。,凍る
467,ゴール,ゴール,ゴール,[1],名詞/自動三,終點/進球,ゴールを目指す。,以終點為目標。,ゴールを決める。,射門得分(進球)。,（　　）を目指す。,ゴール,（　　）を決める。,ゴール
468,誤解,ご.かい,ごかい,[0],名詞/他動三,誤解,誤解を解く。,解開誤解。,誤解を招く。,招致誤解。,（　　）を解く。,誤解,（　　）を招く。,誤解
469,語学,ご.がく,ごがく,[1],名詞,語言學/外語,語学に興味がある。,對外語有興趣。,語学学校。,語言學校。,（　　）に興味がある。,語学,（　　）学校。,語学
470,呼吸,こ.きゅう,こきゅう,[0],名詞/自動三,呼吸,深呼吸をする。,深呼吸。,呼吸を合わせる。,配合呼吸/步調一致。,深（　　）をする。,呼吸,（　　）を合わせる。,呼吸
471,故郷,こ.きょう,こきょう,[1],名詞,故鄉,故郷に帰る。,回到故鄉。,故郷を離れる。,離開故鄉。,（　　）に帰る。,故郷,（　　）を離れる。,故郷
472,国語,こく.ご,こくご,[0],名詞,國語(日語),国語の授業。,國語(日語)課。,国語辞典。,國語辭典。,（　　）の授業。,国語,（　　）辞典。,国語
473,克服,こく.ふく,こくふく,[0],名詞/他動三,克服,弱点を克服する。,克服弱點。,困難を克服する。,克服困難。,弱点を（　　）する。,克服,困難を（　　）する。,克服
474,国民,こく.みん,こくみん,[0],名詞,國民,国民の義務。,國民的義務。,国民の祝日。,國定假日。,（　　）の義務。,国民,（　　）の祝日。,国民
475,穀物,こく.もつ,こくもつ,[2],名詞,穀物,穀物を育てる。,種植穀物。,穀物の値段。,穀物的價格。,（　　）を育てる。,穀物,（　　）の値段。,穀物
476,腰,こし,こし,[0],名詞,腰,腰が痛い。,腰痛。,腰を下ろす。,坐下。,（　　）が痛い。,腰,（　　）を下ろす。,腰
477,故障,こ.しょう,こしょう,[0],名詞/自動三,故障,機械が故障する。,機器故障。,故障を直す。,修理故障。,機械が（　　）する。,故障,（　　）を直す。,故障
478,個人,こ.じん,こじん,[1],名詞,個人,個人の意見。,個人的意見。,個人情報を守る。,保護個人資訊。,（　　）の意見。,個人,（　　）情報を守る。,個人
479,御馳走,ご.ち.そう,ごちそう,[0],名詞/他動三,佳餚/請客,御馳走を作る。,製作佳餚。,友達に御馳走する。,請朋友吃飯。,（　　）を作る。,御馳走,友達に（　　）する。,御馳走
480,国家,こっ.か,こっか,[1],名詞,國家,独立国家。,獨立國家。,国家の安全。,國家的安全。,独立（　　）。,国家,（　　）の安全。,国家
481,骨折,こっ.せつ,こっせつ,[0],名詞/自動三,骨折,腕を骨折する。,手臂骨折。,骨折が治る。,骨折痊癒。,腕を（　　）する。,骨折,（　　）が治る。,骨折
482,小包,こ.づつみ,こづつみ,[2],名詞,包裹,小包を送る。,寄包裹。,小包が届く。,包裹送達。,（　　）を送る。,小包,（　　）が届く。,小包
483,異なる,こと.なる,ことなる,[3],自動一,不同,意見が異なる。,意見不同。,性質が異なる。,性質不同。,意見が（　　）。,異なる,性質が（　　）。,異なる
484,諺,ことわざ,ことわざ,[0],名詞,諺語,諺を引用する。,引用諺語。,昔の諺。,古老的諺語。,（　　）を引用する。,諺,昔の（　　）。,諺
485,断る,ことわ.る,ことわる,[3],他動一,拒絕/事先說明,誘いを断る。,拒絕邀請。,事前に断る。,事先說明。,誘いを（　　）。,断る,事前に（　　）。,断る
486,粉,こな,こな,[2],名詞,粉末,粉をまぶす。,撒上粉末。,薬を粉にする。,把藥磨成粉。,（　　）をまぶす。,粉,薬を（　　）にする。,粉
487,好み,この.み,このみ,[3],名詞,喜好,好みが合う。,喜好相投。,個人の好み。,個人的喜好。,（　　）が合う。,好み,個人の（　　）。,好み
488,コピー用紙,コピー.よう.し,コピーようし,[4],名詞,影印紙,コピー用紙が切れる。,影印紙用完了。,コピー用紙を補充する。,補充影印紙。,（　　）が切れる。,コピー用紙,（　　）を補充する。,コピー用紙
489,コミュニケーション,コミュニケーション,コミュニケーション,[4],名詞,溝通,コミュニケーションをとる。,進行溝通。,コミュニケーション能力。,溝通能力。,（　　）をとる。,コミュニケーション,（　　）能力。,コミュニケーション
490,小麦,こ.むぎ,こむぎ,[0],名詞,小麥,小麦を収穫する。,收穫小麥。,小麦アレルギー。,小麥過敏。,（　　）を収穫する。,小麦,（　　）アレルギー。,小麦
491,小麦粉,こ.むぎ.こ,こむぎこ,[0],名詞,麵粉,小麦粉を練る。,揉麵團。,小麦粉で作る。,用麵粉製作。,（　　）を練る。,小麦粉,（　　）で作る。,小麦粉
492,小屋,こ.や,こや,[2],名詞,小屋/棚子,犬の小屋。,狗屋。,山の小屋。,山中小屋。,犬の（　　）。,小屋,山の（　　）。,小屋
493,殺す,ころ.す,ころす,[0],他動一,殺害/抹殺,虫を殺す。,殺蟲。,息を殺す。,屏息。,虫を（　　）。,殺す,息を（　　）。,殺す
494,転ぶ,ころ.ぶ,ころぶ,[0],自動一,跌倒,道で転ぶ。,在路上跌倒。,石につまずいて転ぶ。,被石頭絆倒。,道で（　　）。,転ぶ,石につまずいて（　　）。,転ぶ
495,今回,こん.かい,こんかい,[1],名詞/時間副詞,這次,今回は失敗した。,這次失敗了。,今回の事件。,這次的事件。,（　　）は失敗した。,今回,（　　）の事件。,今回
496,今後,こん.ご,こんご,[0],名詞/時間副詞,今後,今後の予定。,今後的預定。,今後ともよろしくお願いします。,今後也請多多指教。,（　　）の予定。,今後,（　　）ともよろしくお願いします。,今後
497,混雑,こん.ざつ,こんざつ,[1],名詞/自動三,擁擠,道が混雑する。,道路擁擠。,混雑を避ける。,避開擁擠。,道が（　　）する。,混雑,（　　）を避ける。,混雑
498,こんなに,こんなに,こんなに,[0],程度副詞,這麼地,こんなに美味しい。,這麼好吃。,こんなにたくさん。,這麼多。,（　　）美味しい。,こんなに,（　　）たくさん。,こんなに
499,困難,こん.なん,こんなん,[1],名詞/な形,困難,困難を乗り越える。,克服困難。,困難な状況。,困難的狀況。,（　　）を乗り越える。,困難,（　　）な状況。,困難
500,婚約,こん.やく,こんやく,[0],名詞/自動三,訂婚,彼女と婚約する。,和她訂婚。,婚約指輪。,訂婚戒指。,彼女と（　　）する。,婚約,（　　）指輪。,婚約
501,混乱,こん.らん,こんらん,[0],名詞/自動三,混亂,頭が混乱する。,腦袋混亂。,交通が混乱する。,交通混亂。,頭が（　　）する。,混乱,交通が（　　）する。,混乱
502,差,さ,さ,[0],名詞,差距/差別,実力の差。,實力的差距。,差が開く。,差距拉大。,実力の（　　）。,差,（　　）が開く。,差
503,サービス,サービス,サービス,[1],名詞/他動三,服務/招待,サービスが良い。,服務很好。,コーヒーをサービスする。,招待咖啡。,（　　）が良い。,サービス,コーヒーを（　　）する。,サービス
504,際,さい,さい,[1],名詞,時候/之際,非常の際。,非常時期。,お帰りの際。,回去的時候。,非常の（　　）。,際,お帰りの（　　）。,際
505,最高,さい.こう,さいこう,[0],名詞/な形,最高/最棒,気分が最高だ。,心情最棒了。,最高気温。,最高氣溫。,気分が（　　）だ。,最高,（　　）気温。,最高
506,財産,ざい.さん,ざいさん,[1],名詞,財產,財産を残す。,留下財產。,個人の財産。,個人的財產。,（　　）を残す。,財産,個人の（　　）。,財産
507,最終,さい.しゅう,さいしゅう,[0],名詞,最終,最終の電車。,末班車。,最終目的地。,最終目的地。,（　　）の電車。,最終,（　　）目的地。,最終
508,最新,さい.しん,さいしん,[0],名詞,最新,最新のニュース。,最新的新聞。,最新型。,最新型。,（　　）のニュース。,最新,（　　）型。,最新
509,最低,さい.てい,さいてい,[0],名詞/な形,最低/最差,最低気温。,最低氣溫。,マナーが最低だ。,禮儀最差。,（　　）気温。,最低,マナーが（　　）だ。,最低
510,才能,さい.のう,さいのう,[0],名詞,才能,音楽の才能がある。,有音樂的才能。,才能を伸ばす。,發展才能。,音楽の（　　）がある。,才能,（　　）を伸ばす。,才能
511,材料,ざい.りょう,ざいりょう,[3],名詞,材料/原料,料理の材料を買う。,購買料理的材料。,判断の材料にする。,作為判斷的材料。,料理の（ ）を買う。,材料,判断の（ ）にする。,材料
512,採用,さい.よう,さいよう,[0],名詞/他動三,採用/錄用,新しい技術を採用する。,採用新技術。,会社に採用される。,被公司錄用。,新しい技術を（ ）する。,採用,会社に（ ）される。,採用
513,幸い,さいわ.い,さいわい,[0],名詞/な形/情態副詞,幸運/幸好,幸いにも天気が良い。,幸好天氣很好。,ご返事いただければ幸いです。,若能得到您的回覆，將是我最大的榮幸。,（ ）にも天気が良い。,幸い,ご返事いただければ（ ）です。,幸い
514,盛ん,さか.ん,さかん,[0],な形,興盛/熱烈,農業が盛んな地域。,農業興盛的地區。,盛んに拍手する。,熱烈地鼓掌。,農業が（ ）な地域。,盛ん,（ ）に拍手する。,盛ん
515,作業,さ.ぎょう,さぎょう,[1],名詞/自動三,作業/工作,工場で作業する。,在工廠進行作業。,作業が進む。,工作順利進行。,工場で（ ）する。,作業,（ ）が進む。,作業
516,作者,さく.しゃ,さくしゃ,[2],名詞,作者,この小説の作者。,這本小說的作者。,作者の意図を読み取る。,解讀作者的意圖。,この小説の（ ）。,作者,（ ）の意図を読み取る。,作者
517,昨晩,さく.ばん,さくばん,[2],名詞/時間副詞,昨晚,昨晩はよく眠れた。,昨晚睡得很好。,昨晩のニュース。,昨晚的新聞。,（ ）はよく眠れた。,昨晩,（ ）のニュース。,昨晩
518,作品,さく.ひん,さくひん,[0],名詞,作品,芸術作品を鑑賞する。,欣賞藝術作品。,学生の作品を展示する。,展示學生的作品。,芸術（ ）を鑑賞する。,作品,学生の（ ）を展示する。,作品
519,桜,さくら,さくら,[0],名詞,櫻花,桜の花が咲く。,櫻花開了。,桜を見に行く。,去看櫻花。,（ ）の花が咲く。,桜,（ ）を見に行く。,桜
520,避ける,さ.ける,さける,[2],他動二,避開/避免,危険を避ける。,避開危險。,人込みを避ける。,避開人群。,危険を（ ）。,避ける,人込みを（ ）。,避ける
521,支える,ささ.える,ささえる,[0],他動二,支撐/支持,家族を支える。,支撐家庭。,体を杖で支える。,用拐杖支撐身體。,家族を（ ）。,支える,体を杖で（ ）。,支える
522,指す,さ.す,さす,[1],他動一,指/指向,時計の針が12時を指す。,時鐘的針指向12點。,指で方向を指す。,用手指指示方向。,時計の針が12時を（ ）。,指す,指で方向を（ ）。,指す
523,刺す,さ.す,さす,[1],他動一,刺/叮,蚊に刺される。,被蚊子叮。,針を刺す。,扎針。,蚊に（ ）される。,刺す,針を（ ）。,刺す
524,座席,ざ.せき,ざせき,[0],名詞,座位,座席に着く。,就座。,新幹線の座席を予約する。,預訂新幹線的座位。,（ ）に着く。,座席,新幹線の（ ）を予約する。,座席
525,撮影,さつ.えい,さつえい,[0],名詞/他動三/自動三,攝影/拍片,映画を撮影する。,拍攝電影。,記念撮影をする。,拍紀念照。,映画を（ ）する。,撮影,記念（ ）をする。,撮影
526,作家,さっ.か,さっか,[0],名詞,作家,有名な作家になる。,成為有名的作家。,人気作家の新作。,人氣作家的最新作品。,有名な（ ）になる。,作家,人気（ ）の新作。,作家
527,さっぱり,さっぱり,さっぱり,[3],情態副詞/自動三,清爽/完全(不),シャワーを浴びてさっぱりした。,淋浴後感到很清爽。,彼の話はさっぱり分からない。,他的話我完全聽不懂。,シャワーを浴びて（ ）した。,さっぱり,彼の話は（ ）分からない。,さっぱり
528,さて,さて,さて,[1],慣用/接續詞,那麼/且說,さて、次の問題に行きましょう。,那麼，我們進入下一個問題吧。,さて、どうしようか。,那麼，該怎麼辦才好呢？,（ ）、次の問題に行きましょう。,さて,（ ）、どうしようか。,さて
529,砂漠,さ.ばく,さばく,[0],名詞,沙漠,砂漠に木を植える。,在沙漠種樹。,広大な砂漠を旅する。,在廣大的沙漠中旅行。,（ ）に木を植える。,砂漠,広大な（ ）を旅する。,砂漠
530,差別,さ.べつ,さべつ,[1],名詞/他動三,歧視/差別,男女の差別をなくす。,消除男女歧視。,人を差別してはいけない。,不可以歧視他人。,男女の（ ）をなくす。,差別,人を（ ）してはいけない。,差別
531,様々,さま.ざま,さまざま,[2],な形/名詞,各式各樣,様々な意見が出された。,提出了各式各樣的意見。,理由は様々だ。,理由種種不一。,（ ）な意見が出された。,様々,理由は（ ）だ。,様々
532,覚ます,さ.ます,さます,[2],他動一,弄醒/清醒,コーヒーを飲んで眠気を覚ます。,喝咖啡驅除睡意。,目を覚ます。,睜開眼睛/清醒過來。,コーヒーを飲んで眠気を（ ）。,覚ます,目を（ ）。,覚ます
533,覚める,さ.める,さめる,[2],自動二,醒來/清醒,朝6時に目が覚める。,早上6點醒來。,酔いが覚める。,酒醒了。,朝6時に目が（ ）。,覚める,酔いが（ ）。,覚める
534,左右,さ.ゆう,さゆう,[1],名詞/他動三,左右/支配,左右を確認して道を渡る。,確認左右後過馬路。,感情に左右される。,被感情所左右。,（ ）を確認して道を渡る。,左右,感情に（ ）される。,左右
535,爽やか,さわ.やか,さわやか,[2],な形,舒爽/清爽,爽やかな朝の風。,清爽的晨風。,爽やかな笑顔。,燦爛清爽的笑容。,（ ）な朝の風。,爽やか,（ ）な笑顔。,爽やか
536,参考,さん.こう,さんこう,[0],名詞/他動三,參考,先生の意見を参考にする。,參考老師的意見。,参考になる話。,有參考價值的談話。,先生の意見を（ ）にする。,参考,（ ）になる話。,参考
537,参考書,さん.こう.しょ,さんこうしょ,[0],名詞,參考書,文法の参考書を買う。,購買文法參考書。,参考書を読んで勉強する。,閱讀參考書來學習。,文法の（ ）を買う。,参考書,（ ）を読んで勉強する。,参考書
538,詩,し,し,[0],名詞,詩,詩を書く。,寫詩。,愛の詩を朗読する。,朗讀情詩。,（ ）を書く。,詩,愛の（ ）を朗読する。,詩
539,しあさって,しあさって,しあさって,[2],名詞/時間副詞,大後天,しあさっての予定。,大後天的行程。,しあさって、また会いましょう。,大後天我們再見面吧。,（ ）の予定。,しあさって,（ ）、また会いましょう。,しあさって
540,幸せ,しあわ.せ,しあわせ,[0],な形/名詞,幸福,幸せな家庭を築く。,建立幸福的家庭。,幸せを願う。,祈求幸福。,（ ）な家庭を築く。,幸せ,（ ）を願う。,幸せ
541,ジーンズ,ジーンズ,ジーンズ,[1],名詞,牛仔褲,青いジーンズを履く。,穿藍色牛仔褲。,ジーンズが似合う。,適合穿牛仔褲。,青い（ ）を履く。,ジーンズ,（ ）が似合う。,ジーンズ
542,司会,し.かい,しかい,[0],名詞/他動三/自動三,主持人/主持,会議の司会を務める。,擔任會議的主持人。,パーティーを司会する。,主持派對。,会議の（ ）を務める。,司会,パーティーを（ ）する。,司会
543,資格,し.かく,しかく,[0],名詞,資格/證照,資格を取る。,取得證照(資格)。,応募の資格がない。,沒有應徵的資格。,（ ）を取る。,資格,応募の（ ）がない。,資格
544,しかも,しかも,しかも,[2],慣用/接續詞,而且/並且,この店は安くて、しかも美味しい。,這家店又便宜，而且又好吃。,道に迷い、しかも雨が降り出した。,迷了路，而且還開始下雨了。,この店は安くて、（ ）美味しい。,しかも,道に迷い、（ ）雨が降り出した。,しかも
545,叱る,しか.る,しかる,[0],他動一,責罵/訓斥,子供を叱る。,責罵小孩。,先生に厳しい言葉で叱られた。,被老師嚴厲的話語訓斥了。,子供を（ ）。,叱る,先生に厳しい言葉で（ ）れた。,叱る
546,時期,じ.き,じき,[1],名詞,時期/時機,今は忙しい時期だ。,現在是繁忙的時期。,適切な時期を待つ。,等待適當的時機。,今は忙しい（ ）だ。,時期,適切な（ ）を待つ。,時期
547,時給,じ.きゅう,じきゅう,[0],名詞,時薪,時給が高いアルバイト。,時薪很高的打工。,時給が上がる。,時薪調漲。,（ ）が高いアルバイト。,時給,（ ）が上がる。,時給
548,資源,し.げん,しげん,[1],名詞,資源,天然資源が豊富だ。,天然資源豐富。,資源を大切に使おう。,珍惜使用資源吧。,天然（ ）が豊富だ。,資源,（ ）を大切に使おう。,資源
549,事件,じ.けん,じけん,[1],名詞,事件/案件,殺人事件が起きる。,發生殺人案件。,事件を解決する。,解決案件。,殺人（ ）が起きる。,事件,（ ）を解決する。,事件
550,時刻,じ.こく,じこく,[1],名詞,時刻/時間,出発の時刻を確認する。,確認出發的時刻。,只今の時刻は3時です。,現在的時間是3點。,出発の（ ）を確認する。,時刻,只今の（ ）は3時です。,時刻
551,指示,し.じ,しじ,[1],名詞/他動三,指示,上司の指示に従う。,遵從上司的指示。,適切な指示を出す。,給予適當的指示。,上司の（ ）に従う。,指示,適切な（ ）を出す。,指示
552,事実,じ.じつ,じじつ,[1],名詞/時間副詞,事實,事実を認める。,承認事實。,それは事実と異なる。,那與事實不符。,（ ）を認める。,事実,それは（ ）と異なる。,事実
553,支出,し.しゅつ,ししゅつ,[0],名詞/他動三/自動三,支出/開支,今月は支出が多い。,這個月支出很多。,収入と支出のバランスを保つ。,保持收入與支出的平衡。,今月は（ ）が多い。,支出,収入と（ ）のバランスを保つ。,支出
554,事情,じ.じょう,じじょう,[0],名詞,事情/內情/狀況,やむを得ない事情がある。,有不得已的隱情。,現地の事情に詳しい。,對當地的狀況很了解。,やむを得ない（ ）がある。,事情,現地の（ ）に詳しい。,事情
555,詩人,し.じん,しじん,[0],名詞,詩人,有名な詩人の作品。,有名的詩人作品。,彼らは若い詩人だ。,他們是年輕的詩人。,有名な（ ）の作品。,詩人,彼らは若い（ ）だ。,詩人
556,沈む,しず.む,しずむ,[0],自動一,沉沒/(日落)下沉,太陽が海に沈む。,太陽落入海中。,船が海底に沈む。,船沉入海底。,太陽が海に（ ）。,沈む,船が海底に（ ）。,沈む
557,姿勢,し.せい,しせい,[0],名詞,姿勢/態度,姿勢を良くする。,改善坐姿/站姿(把姿勢弄正)。,前向きな姿勢で臨む。,以積極的態度面對。,（ ）を良くする。,姿勢,前向きな（ ）で臨む。,姿勢
558,自然,し.ぜん,しぜん,[0],名詞/な形,自然/大自然,自然を守る。,保護大自然。,自然な笑顔が素敵だ。,自然的笑容很迷人。,（ ）を守る。,自然,（ ）な笑顔が素敵だ。,自然
559,舌,した,した,[2],名詞,舌頭,舌を火傷した。,燙傷了舌頭。,猫は舌がざらざらしている。,貓的舌頭粗粗糙糙的。,（ ）を火傷した。,舌,猫は（ ）がざらざらしている。,舌
560,従う,したが.う,したがう,[0],自動一,遵從/跟隨,ルールに従う。,遵守規則。,上司の命令に従う。,遵從上司的命令。,ルールに（ ）。,従う,上司の命令に（ ）。,従う
561,親しい,した.しい,したしい,[3],い形,親密的/熟悉,親しい友達。,親密的朋友。,彼女とは昔から親しい間柄だ。,和她是從以前就很親密的關係。,（ ）友達。,親しい,彼女とは昔から（ ）間柄だ。,親しい
562,質,しつ,しつ,[2],名詞,品質/質,品物の質が良い。,物品的品質很好。,量より質を重視する。,重視品質重於數量。,品物の（ ）が良い。,質,量より（ ）を重視する。,質
563,実験,じっ.けん,じっけん,[0],名詞/他動三,實驗,科学の実験を行う。,進行科學實驗。,実験に成功する。,實驗成功。,科学の（ ）を行う。,実験,（ ）に成功する。,実験
564,実現,じつ.げん,じつげん,[0],名詞/他動三/自動三,實現,夢を実現する。,實現夢想。,計画が実現した。,計畫實現了。,夢を（ ）する。,実現,計画が（ ）した。,実現
565,実行,じっ.こう,じっこう,[0],名詞/他動三,實行/執行,計画を実行に移す。,將計畫付諸實行。,決めたことを実行する。,執行決定好的事。,計画を（ ）に移す。,実行,決めたことを（ ）する。,実行
566,実際,じっ.さい,じっさい,[0],名詞/情態副詞,實際/實際上,実際に見て確認する。,實際看一下作確認。,実際のところは分からない。,實際的狀況不清楚。,（ ）に見て確認する。,実際,（ ）のところは分からない。,実際
567,実習,じっ.しゅう,じっしゅう,[0],名詞/他動三/自動三,實習,教育実習に行く。,去教育實習。,工場で実習する。,在工廠實習。,教育（ ）に行く。,実習,工場で（ ）する。,実習
568,室内,しつ.ない,しつない,[2],名詞,室內,室内で遊ぶ。,在室內玩耍。,室内を暖める。,把室內弄暖和。,（ ）で遊ぶ。,室内,（ ）を暖める。,室内
569,実に,じつ.に,じつに,[2],程度副詞,實在是/非常,実に素晴らしい作品だ。,實在是極為優秀的作品。,実に面白い。,實在很有趣。,（ ）素晴らしい作品だ。,実に,（ ）面白い。,実に
570,実は,じつ.は,じつは,[2],陳述副詞,其實,実は、相談があります。,其實，我有事情想找你商量。,昨日は実は病気だった。,昨天其實我生病了。,（ ）、相談があります。,実は,昨日は（ ）病気だった。,実は
571,失望,しつ.ぼう,しつぼう,[0],名詞/自動三,失望,結果に失望する。,對結果感到失望。,失望感を味わう。,體會到失望感。,結果に（ ）する。,失望,（ ）感を味わう。,失望
572,実用的,じつ.よう.てき,じつようてき,[0],な形,實用的,実用的なプレゼント。,實用的禮物。,この英語は実用的だ。,這英文很實用。,（ ）なプレゼント。,実用的,この英語は（ ）だ。,実用的
573,指定,し.てい,してい,[0],名詞/他動三,指定,指定席を予約する。,預約指定席。,日時を指定する。,指定日期和時間。,（ ）席を予約する。,指定,日時を（ ）する。,指定
574,支店,し.てん,してん,[0],名詞,分店/分公司,東京に支店を出す。,在東京開設分公司。,銀行の支店に行く。,去銀行的分行。,東京に（ ）を出す。,支店,銀行の（ ）に行く。,支店
575,指導,し.どう,しどう,[0],名詞/他動三,指導,後輩を指導する。,指導晚輩。,先生の指導を受ける。,接受老師的指導。,後輩を（ ）する。,指導,先生の（ ）を受ける。,指導
576,自動,じ.どう,じどう,[0],名詞,自動,自動ドアが開く。,自動門開了。,自動で動く機械。,自動運轉的機器。,（ ）ドアが開く。,自動,（ ）で動く機械。,自動
577,品,しな,しな,[0],名詞,物品/品質/品格,良い品を安く売る。,廉售優良的物品。,品がある人。,有品格的人。,良い（ ）を安く売る。,品,（ ）がある人。,品
578,市内,し.ない,しない,[1],名詞,市內,市内を観光する。,在市內觀光。,市内電車に乗る。,搭乘市內電車。,（ ）を観光する。,市内,（ ）電車に乗る。,市内
579,支払い,し.はら.い,しはらい,[0],名詞,支付/付款,現金で支払いをする。,用現金付款。,カード支払いが可能だ。,可以刷卡支付。,現金で（ ）をする。,支払い,カード（ ）が可能だ。,支払い
580,支払う,し.はら.う,しはらう,[3],他動一,支付/付錢,お金を支払う。,支付金錢。,料金をカードで支払う。,用信用卡支付費用。,お金を（ ）。,支払う,料金をカードで（ ）。,支払う
581,死亡,し.ぼう,しぼう,[0],名詞/自動三,死亡,交通事故で死亡する。,因交通事故死亡。,死亡原因を調べる。,調查死亡原因。,交通事故で（ ）する。,死亡,（ ）原因を調べる。,死亡
582,姉妹,し.まい,しまい,[1],名詞,姊妹,仲が良い姉妹。,感情很好的姊妹。,姉妹都市の交流。,姊妹市的交流。,仲が良い（ ）。,姉妹,（ ）都市の交流。,姉妹
583,しまった,しまった,しまった,[2],慣用,糟了/完了(感嘆詞),しまった、財布を忘れた。,糟了，我忘記帶錢包。,しまった、電車に乗り遅れた。,完了，我沒趕上電車。,（ ）、財布を忘れた。,しまった,（ ）、電車に乗り遅れた。,しまった
584,自慢,じ.まん,じまん,[0],名詞/他動三,自豪/驕傲/炫耀,料理の腕を自慢する。,炫耀料理手藝。,自慢の息子。,引以為傲的兒子。,料理の腕を（ ）する。,自慢,（ ）の息子。,自慢
585,しみ,しみ,しみ,[0],名詞,污漬/斑點,シャツにしみがつく。,襯衫沾到污漬。,しみを落とす。,去除污漬。,シャツに（ ）がつく。,しみ,（ ）を落とす。,しみ
586,地味,じ.み,じみ,[2],な形/名詞,樸素/低調,地味な服を着る。,穿著樸素的衣服。,色が地味だ。,顏色很低調樸素。,（ ）な服を着る。,地味,色が（ ）だ。,地味
587,事務,じ.む,じむ,[1],名詞,事務/辦公,事務の仕事をする。,從事事務性工作。,事務所で働く。,在事務所工作。,（ ）の仕事をする。,事務,（ ）所で働く。,事務
588,氏名,し.めい,しめい,[1],名詞,姓名,氏名を記入する。,填寫姓名。,氏名を確認する。,確認姓名。,（ ）を記入する。,氏名,（ ）を確認する。,氏名
589,締め切り,し.め.き.り,しめきり,[0],名詞,截止日/期限,宿題の締め切りは明日だ。,作業的截止日是明天。,締め切りを守る。,遵守期限。,宿題の（ ）は明日だ。,締め切り,（ ）を守る。,締め切り
590,しも,しも,しも,[2],名詞,霜,窓にしもが降りる。,窗戶結霜。,朝、しもが張っていた。,早上結了霜。,窓に（ ）が降りる。,しも,朝、（ ）が張っていた。,しも
591,借金,しゃっ.きん,しゃっきん,[3],名詞/他動三,借款/債務,銀行から借金をする。,向銀行借錢。,借金を返す。,還清債務。,銀行から（ ）をする。,借金,（ ）を返す。,借金
592,喋る,しゃべ.る,しゃべる,[2],他動一/自動一,說話/聊天,日本語を喋る。,說日文。,友達とよく喋る。,經常和朋友聊天。,日本語を（ ）。,喋る,友達とよく（ ）。,喋る
593,周囲,しゅう.い,しゅうい,[1],名詞,周圍/周遭,周囲に気を配る。,注意周遭狀況。,周囲の人と協力する。,與周圍的人合作。,（ ）に気を配る。,周囲,（ ）の人と協力する。,周囲
594,修学旅行,しゅう.がく.りょ.こう,しゅうがくりょこう,[5],名詞,畢業旅行/校外教學,修学旅行で京都に行く。,畢業旅行去京都。,楽しい修学旅行。,快樂的畢業旅行。,（ ）で京都に行く。,修学旅行,楽しい（ ）。,修学旅行
595,就職,しゅう.しょく,しゅうしょく,[0],名詞/自動三,就業/找到工作,銀行に就職する。,在銀行就業。,就職活動を始める。,開始求職活動。,銀行に（ ）する。,就職,（ ）活動を始める。,就職
596,修正,しゅう.せい,しゅうせい,[0],名詞/他動三,修正/修改,計画を修正する。,修正計畫。,作文を修正する。,修改作文。,計画を（ ）する。,修正,作文を（ ）する。,修正
597,渋滞,じゅう.たい,じゅうたい,[0],名詞/自動三,塞車/停滯,道路が渋滞している。,道路正在塞車。,交通渋滞に巻き込まれる。,被捲入交通阻塞中。,道路が（ ）している。,渋滞,交通（ ）に巻き込まれる。,渋滞
598,重大,じゅう.だい,じゅうだい,[0],な形/名詞,重大/嚴重,重大な責任。,重大的責任。,重大なニュースを伝える。,傳達重大的新聞。,（ ）な責任。,重大,（ ）なニュースを伝える。,重大
599,住宅,じゅう.たく,じゅうたく,[0],名詞,住宅,静かな住宅街。,寧靜的住宅區。,新しい住宅を建てる。,建造新的住宅。,静かな（ ）街。,住宅,新しい（ ）を建てる。,住宅
600,集団,しゅう.だん,しゅうだん,[0],名詞,集團/團體,集団で行動する。,採取團體行動。,集団生活に慣れる。,習慣團體生活。,（ ）で行動する。,集団,（ ）生活に慣れる。,集団
601,集中,しゅう.ちゅう,しゅうちゅう,[0],名詞/自動三/他動三,集中/專注,勉強に集中する。,專注於學習。,人口が都市に集中する。,人口向都市集中。,勉強に（ ）する。,集中,人口が都市に（ ）する。,集中
602,収入,しゅう.にゅう,しゅうにゅう,[0],名詞,收入,収入が増える。,收入增加。,安定した収入を得る。,獲得穩定的收入。,（ ）が増える。,収入,安定した（ ）を得る。,収入
603,週末,しゅう.まつ,しゅうまつ,[0],名詞,週末,週末は旅行に行く。,週末去旅行。,良い週末を過ごす。,度過一個美好的週末。,（ ）は旅行に行く。,週末,良い（ ）を過ごす。,週末
604,住民,じゅう.みん,じゅうみん,[0],名詞,居民,地域の住民と話し合う。,與當地的居民討論。,住民票を取る。,申請居民戶籍謄本。,地域の（ ）と話し合う。,住民,（ ）票を取る。,住民
605,重要,じゅう.よう,じゅうよう,[0],な形/名詞,重要,重要な書類。,重要的文件。,重要な役割を果たす。,扮演重要的角色。,（ ）な書類。,重要,（ ）な役割を果たす。,重要
